#,School Name,School Rank,School Page Link,Location,Admission Rage,Major,Collage,Collage Ranking,Major Page Link,Program length,Spring/Fall Program,Admission,,,,,,,,,,Comment
,,,,,,,,,,,,Deadline,GPA,GRE/GMAT,Toefl,Recommandation Letter,Personal Statement,resume,Special requirement,fee,Requirement Page Link,
9,Syracuse University,61,http://www.syr.edu/,"Syracuse, NY",53.20%,Applied Statistic,College of Arts and Sciences,,http://asacademics.syr.edu/AppliedStats/requirements_applStat.html, ,,Mid to last October,,,"85 (Writing: 21 Speaking, Reading, and Listening: 20)",2,,,"All applicants are expected to have a basic foundation in statistical training that includes one course in introductory statistics, one course in regression analysis, and four courses in applications areas.",$75,http://admissions.syr.edu/apply/internationalrequirements/firstyearchecklist/,
,,,,,,Finance (MS),SCHOOL OF MANAGEMENT,,http://whitman.syr.edu/programs-and-academics/programs/ms/finance/index.aspx,12 months,Fall,Nov 30 - Apr 19,,GRE or GMAT,,2,,yes,2 eassy,$75,http://whitman.syr.edu/programs-and-academics/programs/ms/finance/admission/application-checklist.aspx, 
,,,,,,MS in Information Management,School of Information Studies,,https://ischool.syr.edu/academics/graduate/masters-degrees/, ,Fall,February 1,,GRE,,2,yes,yes,optional video submission,$75,https://ischool.syr.edu/admissions/checklists/im-tnm-checklist/,
10,University of Maryland,57,http://www.umd.edu/,"College park, MD",47.80%,"Applied Mathematics & Statistics, and Scientific Computation (Master of Science)",,,http://apps.gradschool.umd.edu/catalog/programs/amsc.htm, ,Fall,January 10,,GER,,3,,,Video,,http://apps.gradschool.umd.edu/catalog/programs/amsc.htm,
,,,,,,Information Systems (MS),School of Business,,http://www.rhsmith.umd.edu/programs/ms-information-systems, ,Fall,February 15,,GMAT or GRE,"Overall:100,Speaking:22,Listening:24,Reading:26,Writing:24","required, but didn't say how many", ,yes,"eassy, video response",,http://www.rhsmith.umd.edu/programs/ms-information-systems/admissions,
11,Rutgers,72,http://www.rutgers.edu/,Three campus,60.50%,Statistics & Biostatistics - Data Science (MS and Nondegree),Graduate School (new brunswick),,http://stat.rutgers.edu/msdatascience, ,Fall (Spring will be considered but not encouraged),March 1,,GRE,,3,yes,yes,personal statement instruction on requirement page,,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?code=16960D&degree=MS,Combination of CS and Stat
,,,,,,,,,http://www.fsrm.rutgers.edu/,,Fall (Spring will be considered but not encouraged),"Fall 6/1, Spring 10/1",,GRE or GMAT,,3,yes,yes,personal statement instruction on requirement page,,https://grad.admissions.rutgers.edu/GraduateProgram/Detail.aspx?code=16958&degree=MS, 
12,Bentley University,N/A,http://www.bentley.edu/,"Waltham, MA",46.10%,Master's in Business Analytics,Graduate School of Business,,http://www.bentley.edu/graduate/ms-programs/business-analytics,1.5 years to 2 years,Fall / Spring (Spring: September 1 / Fall: rolling),Fall / Spring (Spring: September 1 / Fall: rolling), ,GRE or GMAT,,2,,yes,essays included in application form,$50,http://www.bentley.edu/graduate/admission-financial-aid/application-process,STEM
,,,,,,Master in Information Technology,Graduate School of Business,,http://www.bentley.edu/graduate/ms-programs/information-technology,,,,,,,,,,,,,
,,,,,,Masters in Marketing Analytics,Graduate School of Business,,http://www.bentley.edu/graduate/ms-programs/marketing-analytics,,,,,,,,,,,,,
13,Umass lowell,156,https://www.uml.edu/,"Lowell, MA",64%,Master of Science in Business Analytics, ,,https://www.uml.edu/MSB/Departments/Operations-Info-Systems/Programs/msba.aspx,at least 1 year,Fall / Spring,,,GRE or GMAT,100,3,yes,yes,A CED foreign credential evaluation is required for degrees earned outside of the US., ,https://www.uml.edu/MSB/Departments/Operations-Info-Systems/Programs/msba.aspx,保底
14,Umass Boston,,,,,,,,,,Spring,,,,,,,,,,,
